"jaar","maand","nuts3","mrsa","vre","esbl","cre","cpe","facre","fara","cpa","mrpa","ca"
2024,6,"Delfzijl en omgeving",0,0,2,0,0,0,0,0,0,0
2024,6,"Flevoland",5,0,1,0,0,1,0,0,0,0
2024,6,"Noord-Drenthe",0,0,6,0,0,0,0,0,0,0
2024,6,"Noord-Friesland",13,0,60,0,0,1,0,0,0,0
2024,6,"Noord-Overijssel",0,0,1,0,0,0,0,0,0,0
2024,6,"Oost-Groningen",4,0,5,1,1,0,0,0,0,0
2024,6,"Overig Groningen",1,0,14,0,0,0,0,0,0,0
2024,6,"Zuidoost-Drenthe",2,0,8,0,0,0,0,0,0,0
2024,6,"Zuidoost-Friesland",8,0,29,0,0,0,0,0,0,0
2024,6,"Zuidwest-Drenthe",3,0,5,1,1,0,0,0,0,0
2024,6,"Zuidwest-Friesland",8,0,21,0,0,0,0,0,0,0
2024,7,"Delfzijl en omgeving",6,0,13,0,0,0,0,0,0,0
2024,7,"Flevoland",6,0,17,0,0,0,0,0,0,0
2024,7,"Noord-Drenthe",4,0,23,1,0,0,0,0,0,0
2024,7,"Noord-Friesland",14,1,72,0,0,2,0,0,1,0
2024,7,"Noord-Overijssel",0,0,3,0,0,0,0,0,0,0
2024,7,"Oost-Groningen",12,0,34,0,0,0,0,0,0,0
2024,7,"Overig Groningen",9,0,37,2,2,1,0,0,0,0
2024,7,"Zuidoost-Drenthe",11,0,23,0,0,1,0,0,0,0
2024,7,"Zuidoost-Friesland",8,1,41,0,0,0,0,0,0,0
2024,7,"Zuidwest-Drenthe",7,0,18,1,1,0,0,0,0,0
2024,7,"Zuidwest-Friesland",10,0,23,0,0,1,0,0,1,0
2024,8,"Delfzijl en omgeving",8,0,9,0,0,0,0,0,0,0
2024,8,"Flevoland",2,0,3,0,0,0,0,0,0,0
2024,8,"Noord-Drenthe",6,0,24,0,0,0,0,0,0,0
2024,8,"Noord-Friesland",7,0,58,0,0,2,0,0,0,0
2024,8,"Noord-Overijssel",2,0,8,0,0,0,0,0,0,0
2024,8,"Oost-Groningen",10,0,36,0,0,0,0,0,0,0
2024,8,"Overig Groningen",16,0,93,52,50,5,0,0,11,0
2024,8,"Zuidoost-Drenthe",5,0,38,0,0,0,0,0,0,0
2024,8,"Zuidoost-Friesland",5,0,21,1,1,2,0,0,0,0
2024,8,"Zuidwest-Drenthe",3,0,10,0,0,0,0,0,0,0
2024,8,"Zuidwest-Friesland",11,0,25,0,0,1,0,0,0,0
2024,9,"Delfzijl en omgeving",5,0,12,1,1,0,0,0,0,0
2024,9,"Flevoland",5,0,5,0,0,0,0,0,0,0
2024,9,"Noord-Drenthe",11,3,19,0,0,0,0,0,0,0
2024,9,"Noord-Friesland",20,0,48,0,0,2,0,0,0,0
2024,9,"Noord-Overijssel",3,0,1,0,0,0,0,0,0,0
2024,9,"Oost-Groningen",25,0,29,0,0,0,0,0,0,0
2024,9,"Overig Groningen",5,0,51,18,18,2,0,0,5,0
2024,9,"Zuidoost-Drenthe",9,0,46,0,0,0,0,0,0,0
2024,9,"Zuidoost-Friesland",6,0,19,0,0,0,0,0,0,0
2024,9,"Zuidwest-Drenthe",9,1,16,2,2,0,0,0,0,0
2024,9,"Zuidwest-Friesland",4,0,26,3,2,2,0,0,0,0
2024,10,"Delfzijl en omgeving",2,0,11,0,0,0,0,0,0,0
2024,10,"Flevoland",4,0,11,0,0,1,0,0,0,0
2024,10,"Noord-Drenthe",5,1,30,0,0,0,0,0,0,0
2024,10,"Noord-Friesland",49,0,55,0,0,2,0,0,0,0
2024,10,"Noord-Overijssel",0,0,1,0,0,0,0,0,0,0
