"jaar","maand","provincie","nuts3","Mycoplasma pneumoniae","Rhinovirus","Rhinovirus/enterovirus","SARS-CoV-2","Adenovirus","Enterovirus","Humaan metapneumovirus","Influenza A","Parainfluenzavirus type 2","Parainfluenzavirus type 3","Parainfluenzavirus type 1","RSV","Parainfluenzavirus type 4","Influenza B"
2024,6,"Drenthe","Noord-Drenthe",1,2,2,2,0,0,0,0,0,0,0,0,0,0
2024,6,"Drenthe","Zuidoost-Drenthe",1,0,0,9,0,0,0,0,0,0,0,0,0,0
2024,6,"Drenthe","Zuidwest-Drenthe",0,0,0,3,0,0,0,0,0,0,0,0,0,0
2024,6,"Flevoland","Flevoland",0,0,2,4,0,0,0,0,0,0,0,0,0,0
2024,6,"Friesland","Noord-Friesland",8,0,31,20,1,9,2,1,1,3,0,0,0,0
2024,6,"Friesland","Zuidoost-Friesland",3,1,15,7,0,4,2,0,0,4,0,0,0,0
2024,6,"Friesland","Zuidwest-Friesland",1,0,12,9,0,0,1,0,0,3,0,0,0,0
2024,6,"Groningen","Delfzijl en omgeving",0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,6,"Groningen","Oost-Groningen",0,2,2,4,0,1,0,0,0,0,0,0,0,0
2024,6,"Groningen","Overig Groningen",3,2,3,12,1,2,0,0,0,2,0,0,0,0
2024,6,"Overijssel","Noord-Overijssel",0,0,0,2,0,0,0,0,0,0,0,0,0,0
2024,7,"Drenthe","Noord-Drenthe",1,3,3,14,1,3,0,0,0,0,0,0,0,0
2024,7,"Drenthe","Zuidoost-Drenthe",2,3,3,51,0,0,0,0,0,0,0,0,0,0
2024,7,"Drenthe","Zuidwest-Drenthe",0,2,2,16,0,1,0,0,0,0,0,0,0,0
2024,7,"Flevoland","Flevoland",0,0,1,7,0,1,0,0,1,0,0,0,0,0
2024,7,"Friesland","Noord-Friesland",10,0,18,65,1,12,0,0,1,0,1,0,0,0
2024,7,"Friesland","Zuidoost-Friesland",2,0,6,34,1,1,1,1,0,3,2,0,0,0
2024,7,"Friesland","Zuidwest-Friesland",4,0,5,24,0,3,0,0,1,1,0,0,0,0
